Id;Kolejka;season;home;away;date;hour;gh;ga;IsCancelled;IsWalkover;note
0;1;1927;1. FC Katowice;Ruch Chorzów;1927-04-03;16:00;7;0;0;0;
1;1;1927;Warta Poznań;Czarni Lwów;1927-04-03;16:00;0;3;0;0;
2;1;1927;TKS Toruń;Polonia Warszawa;1927-04-03;15:00;4;3;0;0;
3;1;1927;Legia Warszawa;Warszawianka Warszawa;1927-04-03;15:30;1;4;0;0;
4;1;1927;Pogoń Lwów;Hasmonea Lwów;1927-04-03;15:30;7;1;1;0;
5;1;1927;Klub Turystów Łódź;ŁKS Łódź;1927-04-03;15:00;0;2;0;0;
6;1;1927;Jutrzenka Kraków;Wisła Kraków;1927-04-03;15:45;0;4;0;0;
7;2;1927;ŁKS Łódź;Warta Poznań;1927-04-10;15:30;2;1;0;0;
8;2;1927;TKS Toruń;Warszawianka Warszawa;1927-04-10;15:00;4;2;0;0;
9;2;1927;Czarni Lwów;Pogoń Lwów;1927-04-10;15:30;3;1;0;0;
10;2;1927;Wisła Kraków;Ruch Chorzów;1927-04-10;16:00;2;0;0;0;
11;2;1927;1. FC Katowice;Klub Turystów Łódź;1927-04-10;16:00;4;1;0;0;
12;2;1927;Legia Warszawa;Polonia Warszawa;1927-04-10;16:00;2;2;0;0;
13;3;1927;Legia Warszawa;Wisła Kraków;1927-04-18;16:00;1;4;0;0;
14;3;1927;Jutrzenka Kraków;Czarni Lwów;1927-04-17;16:00;1;6;0;0;
15;3;1927;ŁKS Łódź;TKS Toruń;1927-04-18;15:30;4;1;0;0;
16;3;1927;Polonia Warszawa;Warszawianka Warszawa;1927-04-17;16:30;4;2;0;0;
17;3;1927;Klub Turystów Łódź;Wisła Kraków;1927-04-17;15:00;5;1;0;0;
18;4;1927;Wisła Kraków;Hasmonea Lwów;1927-04-24;16:00;3;1;0;0;
19;4;1927;Klub Turystów Łódź;Pogoń Lwów;1927-04-24;15:30;1;1;0;0;
20;4;1927;Czarni Lwów;Polonia Warszawa;1927-04-24;16:00;1;1;0;0;
21;4;1927;Warszawianka Warszawa;Warta Poznań;1927-04-24;16:30;1;5;0;0;
22;4;1927;TKS Toruń;Legia Warszawa;1927-04-24;16:00;2;2;0;0;
23;4;1927;Ruch Chorzów;ŁKS Łódź;1927-04-24;16:30;1;3;0;0;
24;5;1927;Warta Poznań;1. FC Katowice;1927-05-01;16:00;1;0;0;0;
25;5;1927;Ruch Chorzów;Warszawianka Warszawa;1927-05-01;16:00;0;0;0;0;
26;5;1927;Jutrzenka Kraków;TKS Toruń;1927-05-01;16:30;2;4;0;0;
27;5;1927;Polonia Warszawa;Klub Turystów Łódź;1927-05-01;16:30;2;1;1;0;
28;6;1927;Polonia Warszawa;Wisła Kraków;1927-05-03;16:30;2;1;0;0;
29;7;1927;1. FC Katowice;Pogoń Lwów;1927-05-08;16:00;1;0;0;0;
30;7;1927;Warta Poznań;Jutrzenka Kraków;1927-05-08;16:00;4;0;0;0;
31;7;1927;Wisła Kraków;Czarni Lwów;1927-05-08;16:30;4;0;0;0;
32;7;1927;Klub Turystów Łódź;Legia Warszawa;1927-05-08;16:00;1;6;0;0;
33;7;1927;Hasmonea Lwów;Polonia Warszawa;1927-05-08;16:30;2;2;0;0;
34;7;1927;Warszawianka Warszawa;ŁKS Łódź;1927-05-08;16:30;2;1;0;0;
35;7;1927;TKS Toruń;Ruch Chorzów;1927-05-08;16:25;0;4;0;0;
36;8;1927;Pogoń Lwów;Warszawianka Warszawa;1927-05-15;17:00;2;1;0;0;
37;8;1927;Ruch Chorzów;Hasmonea Lwów;1927-05-15;16:00;1;1;0;0;
38;8;1927;Czarni Lwów;1. FC Katowice;1927-05-15;15:00;0;1;0;0;
39;8;1927;Jutrzenka Kraków;Polonia Warszawa;1927-05-15;15:30;0;0;0;0;
40;8;1927;Legia Warszawa;Warta Poznań;1927-05-15;17:00;3;1;0;0;
41;8;1927;ŁKS Łódź;Wisła Kraków;1927-05-15;16:00;0;0;0;0;
42;8;1927;TKS Toruń;Klub Turystów Łódź;1927-05-15;16:00;2;1;0;0;
43;9;1927;Wisła Kraków;Warta Poznań;1927-05-22;17:00;4;1;0;0;
44;9;1927;1. FC Katowice;Warszawianka Warszawa;1927-05-22;16:00;3;2;0;0;
45;9;1927;Polonia Warszawa;Ruch Chorzów;1927-05-22;18:30;3;5;0;0;
46;9;1927;Klub Turystów Łódź;Czarni Lwów;1927-05-22;16:30;3;2;0;0;
47;9;1927;Hasmonea Lwów;TKS Toruń;1927-05-22;15:00;2;5;0;0;
48;9;1927;Pogoń Lwów;ŁKS Łódź;1927-05-22;17:00;2;0;0;0;
49;10;1927;Czarni Lwów;Hasmonea Lwów;1927-05-26;17:00;2;3;0;0;
50;10;1927;TKS Toruń;Pogoń Lwów;1927-05-26;16:00;3;5;0;0;
51;10;1927;Jutrzenka Kraków;Ruch Chorzów;1927-05-26;17:15;1;3;0;0;
52;11;1927;ŁKS Łódź;Hasmonea Lwów;1927-05-29;16:30;3;0;0;0;
53;11;1927;Wisła Kraków;1. FC Katowice;1927-05-29;17:00;3;0;0;0;
54;11;1927;Ruch Chorzów;Klub Turystów Łódź;1927-05-29;17:00;2;0;0;0;
55;11;1927;Legia Warszawa;Pogoń Lwów;1927-05-29;17:00;4;3;0;0;
56;11;1927;Warta Poznań;Polonia Warszawa;1927-05-29;17:15;4;1;0;0;
57;12;1927;Hasmonea Lwów;1. FC Katowice;1927-06-05;17:00;2;4;0;0;
58;12;1927;Warszawianka Warszawa;Czarni Lwów;1927-06-05;17:00;1;5;0;0;
59;12;1927;Legia Warszawa;Czarni Lwów;1927-06-06;17:30;2;0;0;0;
60;13;1927;Warta Poznań;Ruch Chorzów;1927-06-12;17:30;1;4;0;0;
61;13;1927;1. FC Katowice;Legia Warszawa;1927-06-12;17:00;2;3;0;0;
62;13;1927;Polonia Warszawa;Klub Turystów Łódź;1927-06-12;17:30;0;3;0;0;
63;13;1927;ŁKS Łódź;Jutrzenka Kraków;1927-06-12;17:00;2;1;0;0;
64;14;1927;ŁKS Łódź;Polonia Warszawa;1927-06-16;;3;4;0;0;
65;14;1927;Warszawianka Warszawa;Wisła Kraków;1927-06-16;17:30;0;2;0;0;
66;14;1927;Jutrzenka Kraków;Legia Warszawa;1927-06-16;17:30;5;4;0;0;
67;14;1927;Pogoń Lwów;Hasmonea Lwów;1927-06-16;17:00;1;2;0;0;
68;15;1927;Legia Warszawa;Hasmonea Lwów;1927-06-19;17:30;4;1;0;0;
69;15;1927;1. FC Katowice;ŁKS Łódź;1927-06-19;17:00;4;1;0;0;
70;15;1927;TKS Toruń;Wisła Kraków;1927-06-19;16:30;2;7;0;0;
71;15;1927;Czarni Lwów;Ruch Chorzów;1927-06-19;17:00;2;1;0;0;
72;15;1927;Pogoń Lwów;Warta Poznań;1927-06-19;17:00;6;2;0;0;
73;15;1927;Jutrzenka Kraków;Klub Turystów Łódź;1927-06-19;17:30;0;0;0;0;
74;16;1927;Pogoń Lwów;Wisła Kraków;1927-06-26;17:00;4;1;0;0;
75;16;1927;Klub Turystów Łódź;Warta Poznań;1927-06-26;17:30;0;3;0;0;
76;16;1927;Polonia Warszawa;1. FC Katowice;1927-06-26;17:30;3;1;0;0;
77;16;1927;Ruch Chorzów;Legia Warszawa;1927-06-26;17:00;3;1;0;0;
78;16;1927;Jutrzenka Kraków;Warszawianka Warszawa;1927-06-26;16:00;4;1;0;0;
79;17;1927;Warszawianka Warszawa;Klub Turystów Łódź;1927-06-29;17:30;1;2;0;0;
80;17;1927;Hasmonea Lwów;Jutrzenka Kraków;1927-06-29;17:00;2;1;0;0;
81;17;1927;ŁKS Łódź;Czarni Lwów;1927-06-29;17:30;2;2;0;0;
82;18;1927;Hasmonea Lwów;Warta Poznań;1927-07-03;17:15;7;5;0;0;
83;18;1927;Jutrzenka Kraków;Pogoń Lwów;1927-07-03;17:30;2;3;0;0;
84;18;1927;ŁKS Łódź;Legia Warszawa;1927-07-03;17:30;3;1;0;0;
85;18;1927;TKS Toruń;1. FC Katowice;1927-07-03;16:30;1;3;0;0;
86;19;1927;Hasmonea Lwów;Warszawianka Warszawa;1927-07-10;17:30;1;2;0;0;
87;19;1927;TKS Toruń;Warta Poznań;1927-07-10;16:50;6;3;0;0;
88;19;1927;Ruch Chorzów;Pogoń Lwów;1927-07-10;17:00;0;2;0;0;
89;19;1927;Jutrzenka Kraków;1. FC Katowice;1927-07-10;17:00;1;2;0;0;
90;20;1927;Czarni Lwów;TKS Toruń;1927-07-17;16:00;0;4;0;0;
91;20;1927;Polonia Warszawa;Pogoń Lwów;1927-07-17;17:30;3;3;0;0;
92;20;1927;Hasmonea Lwów;Klub Turystów Łódź;1927-07-17;18:00;3;3;0;0;
93;21;1927;Warszawianka Warszawa;Legia Warszawa;1927-07-24;17:00;2;1;0;0;
94;21;1927;Jutrzenka Kraków;Warta Poznań;1927-07-24;17:30;1;1;0;0;
95;21;1927;Czarni Lwów;Wisła Kraków;1927-07-24;17:30;2;3;0;0;
96;21;1927;TKS Toruń;ŁKS Łódź;1927-07-24;17:00;1;0;0;0;
97;21;1927;1. FC Katowice;Hasmonea Lwów;1927-07-24;17:00;9;3;0;0;
98;21;1927;Klub Turystów Łódź;Ruch Chorzów;1927-07-24;17:30;4;1;0;0;
99;22;1927;Warta Poznań;ŁKS Łódź;1927-07-31;17:00;5;2;0;0;
100;22;1927;1. FC Katowice;Czarni Lwów;1927-07-31;17:15;2;0;0;0;
101;22;1927;Hasmonea Lwów;Ruch Chorzów;1927-07-31;11:15;2;2;0;0;
102;22;1927;Legia Warszawa;Klub Turystów Łódź;1927-07-31;17:30;5;2;0;0;
103;22;1927;Pogoń Lwów;TKS Toruń;1927-07-31;17:00;8;1;0;0;
104;22;1927;Polonia Warszawa;Jutrzenka Kraków;1927-07-31;11:30;3;2;0;0;
105;22;1927;Wisła Kraków;Warszawianka Warszawa;1927-07-31;17:30;8;2;0;0;
106;23;1927;Warta Poznań;Legia Warszawa;1927-08-07;17:00;8;1;0;0;
107;23;1927;Warszawianka Warszawa;1. FC Katowice;1927-08-07;17:30;1;2;0;0;
108;23;1927;Wisła Kraków;Jutrzenka Kraków;1927-08-07;17:15;7;2;0;0;
109;23;1927;Pogoń Lwów;Czarni Lwów;1927-08-07;17:00;3;0;0;0;
110;23;1927;Ruch Chorzów;Polonia Warszawa;1927-08-07;17:00;0;3;0;1;
111;23;1927;ŁKS Łódź;Klub Turystów Łódź;1927-08-07;17:00;2;4;0;0;
112;24;1927;Pogoń Lwów;Jutrzenka Kraków;1927-08-15;17:00;2;0;0;0;
113;24;1927;ŁKS Łódź;Warszawianka Warszawa;1927-08-14;16:00;5;2;0;0;
114;24;1927;Ruch Chorzów;TKS Toruń;1927-08-14;17:00;0;0;0;0;
115;24;1927;Warta Poznań;Wisła Kraków;1927-08-14;17:00;3;2;0;0;
116;24;1927;Hasmonea Lwów;Legia Warszawa;1927-08-14;17:00;0;2;0;0;
117;24;1927;Polonia Warszawa;Czarni Lwów;1927-08-14;17:00;3;3;0;0;
118;24;1927;1. FC Katowice;TKS Toruń;1927-08-15;17:00;5;2;0;0;
119;25;1927;Warta Poznań;Warszawianka Warszawa;1927-08-21;;1;0;0;0;
120;25;1927;Wisła Kraków;Legia Warszawa;1927-08-21;16:30;1;0;0;0;
121;25;1927;Polonia Warszawa;ŁKS Łódź;1927-08-21;16:30;2;1;0;0;
122;25;1927;Czarni Lwów;Jutrzenka Kraków;1927-08-21;17:00;3;2;0;0;
123;25;1927;Klub Turystów Łódź;TKS Toruń;1927-08-21;17:00;2;0;0;0;
124;25;1927;Pogoń Lwów;Ruch Chorzów;1927-08-21;17:00;0;1;0;0;
125;26;1927;Hasmonea Lwów;ŁKS Łódź;1927-08-27;16:30;3;0;0;0;
126;26;1927;Ruch Chorzów;Wisła Kraków;1927-08-28;17:00;0;4;0;0;
127;26;1927;Czarni Lwów;ŁKS Łódź;1927-08-28;16:30;0;4;0;0;
128;26;1927;Warszawianka Warszawa;Jutrzenka Kraków;1927-08-28;15:00;8;2;0;0;
129;26;1927;Legia Warszawa;TKS Toruń;1927-08-28;17:00;6;1;0;0;
130;26;1927;Klub Turystów Łódź;1. FC Katowice;1927-08-28;16:30;2;0;0;0;
131;27;1927;Polonia Warszawa;Warta Poznań;1927-09-04;16:30;1;5;0;0;
132;27;1927;TKS Toruń;Czarni Lwów;1927-09-04;16:00;0;1;0;0;
133;27;1927;Wisła Kraków;ŁKS Łódź;1927-09-04;16:15;3;1;0;0;
134;27;1927;Pogoń Lwów;Legia Warszawa;1927-09-03;16:00;11;2;0;0;
135;27;1927;Klub Turystów Łódź;Hasmonea Lwów;1927-09-04;16:30;6;2;0;0;
136;27;1927;1. FC Katowice;Jutrzenka Kraków;1927-09-04;16:30;5;1;0;0;
137;28;1927;Warta Poznań;Pogoń Lwów;1927-09-11;16:00;2;1;0;0;
138;28;1927;Warszawianka Warszawa;Polonia Warszawa;1927-09-11;16:15;3;3;0;0;
139;28;1927;Wisła Kraków;TKS Toruń;1927-09-11;16:00;15;0;0;0;
140;28;1927;Hasmonea Lwów;Czarni Lwów;1927-09-11;16:00;3;0;0;0;
141;28;1927;ŁKS Łódź;1. FC Katowice;1927-09-11;16:30;1;2;0;0;
142;29;1927;Warta Poznań;Hasmonea Lwów;1927-09-18;15:30;3;4;0;0;
143;29;1927;Ruch Chorzów;Jutrzenka Kraków;1927-09-18;15:30;1;3;0;0;
144;29;1927;Pogoń Lwów;Polonia Warszawa;1927-09-18;15:30;3;1;0;0;
145;29;1927;Legia Warszawa;ŁKS Łódź;1927-09-18;16:00;6;3;0;0;
146;29;1927;Wisła Kraków;Klub Turystów Łódź;1927-09-18;15:30;5;1;0;0;
147;30;1927;Czarni Lwów;Legia Warszawa;1927-09-25;14:00;2;1;0;0;
148;30;1927;ŁKS Łódź;Pogoń Lwów;1927-09-25;16:00;1;0;1;0;
149;30;1927;Warta Poznań;Klub Turystów Łódź;1927-09-25;14:30;2;4;1;0;
150;30;1927;Jutrzenka Kraków;Hasmonea Lwów;1927-09-25;15:00;2;2;0;0;
151;30;1927;Polonia Warszawa;TKS Toruń;1927-09-25;16:00;2;5;0;0;
152;30;1927;1. FC Katowice;Wisła Kraków;1927-09-25;15:30;0;2;0;0;
153;30;1927;Warszawianka Warszawa;Ruch Chorzów;1927-09-25;14:00;0;1;0;0;
154;31;1927;Hasmonea Lwów;Pogoń Lwów;1927-10-02;15:30;2;2;0;0;
155;31;1927;Legia Warszawa;1. FC Katowice;1927-10-02;15:00;5;0;0;0;
156;31;1927;Klub Turystów Łódź;Jutrzenka Kraków;1927-10-02;15:26;4;2;0;0;
157;31;1927;Warta Poznań;TKS Toruń;1927-10-02;15:00;4;2;0;0;
158;31;1927;Wisła Kraków;Polonia Warszawa;1927-10-02;15:00;7;1;0;0;
159;32;1927;Warszawianka Warszawa;Hasmonea Lwów;1927-10-09;15:00;5;1;0;0;
160;32;1927;TKS Toruń;Jutrzenka Kraków;1927-10-09;15:00;4;3;0;0;
161;32;1927;Czarni Lwów;Warta Poznań;1927-10-09;15:00;3;3;0;0;
162;32;1927;ŁKS Łódź;Ruch Chorzów;1927-10-09;15:00;6;2;0;0;
163;32;1927;Wisła Kraków;Pogoń Lwów;1927-10-09;15:00;0;2;0;0;
164;32;1927;1. FC Katowice;Polonia Warszawa;1927-10-09;15:00;4;3;0;0;
165;33;1927;Klub Turystów Łódź;Polonia Warszawa;1927-10-16;15:00;1;0;0;0;
166;33;1927;Hasmonea Lwów;Wisła Kraków;1927-10-16;14:45;2;2;0;0;
167;33;1927;Legia Warszawa;Ruch Chorzów;1927-10-16;15:00;1;1;0;0;
168;33;1927;1. FC Katowice;Warta Poznań;1927-10-16;15:00;1;5;0;0;
169;33;1927;Jutrzenka Kraków;ŁKS Łódź;1927-10-16;15:00;2;2;0;0;
170;34;1927;Pogoń Lwów;1. FC Katowice;1927-10-23;;0;3;0;1;
171;34;1927;Polonia Warszawa;Hasmonea Lwów;1927-10-23;15:00;9;2;0;0;
172;34;1927;Ruch Chorzów;Czarni Lwów;1927-10-23;15:00;2;1;0;0;
173;34;1927;Klub Turystów Łódź;Warszawianka Warszawa;1927-10-23;14:30;3;7;0;0;
174;35;1927;Czarni Lwów;Klub Turystów Łódź;1927-10-30;14:15;3;0;0;0;
175;35;1927;Warszawianka Warszawa;TKS Toruń;1927-10-30;14:00;0;2;0;0;
176;35;1927;Warszawianka Warszawa;Pogoń Lwów;1927-10-30;14:00;3;0;0;1;
177;36;1927;Legia Warszawa;Jutrzenka Kraków;1927-11-01;11:30;5;1;0;0;
178;36;1927;Ruch Chorzów;Warta Poznań;1927-11-01;14:30;0;5;0;0;
179;36;1927;TKS Toruń;Hasmonea Lwów;1927-11-01;14:30;0;2;0;0;
180;37;1927;Ruch Chorzów;1. FC Katowice;1927-11-06;14:30;0;2;0;0;
181;37;1927;Polonia Warszawa;Legia Warszawa;1927-11-06;14:00;2;1;0;0;
182;37;1927;Czarni Lwów;Warszawianka Warszawa;1927-11-06;11:00;1;0;0;0;
183;37;1927;Pogoń Lwów;Klub Turystów Łódź;1927-11-06;;0;3;0;1;
184;38;1927;ŁKS Łódź;Pogoń Lwów;1927-11-13;;3;0;0;1;
185;38;1927;Warta Poznań;Klub Turystów Łódź;1927-11-13;;3;0;0;1;
186;1;1928;Ruch Chorzów;Śląsk Świętochłowice;1928-03-04;15:00;1;0;0;0;
187;2;1928;Śląsk Świętochłowice;TKS Toruń;1928-03-11;;4;3;1;0;
188;3;1928;Śląsk Świętochłowice;1. FC Katowice;1928-03-18;15:00;1;1;0;0;
189;3;1928;Klub Turystów Łódź;ŁKS Łódź;1928-03-18;15:00;0;1;0;0;
190;3;1928;Polonia Warszawa;Warszawianka Warszawa;1928-03-18;15:30;1;1;0;0;
191;3;1928;Wisła Kraków;Ruch Chorzów;1928-03-18;15:15;4;0;0;0;
192;4;1928;TKS Toruń;Polonia Warszawa;1928-03-25;15:00;1;4;0;0;
193;4;1928;Legia Warszawa;ŁKS Łódź;1928-03-25;15:30;3;0;0;0;
194;4;1928;Warta Poznań;Warszawianka Warszawa;1928-03-25;15:30;2;1;0;0;
195;4;1928;1. FC Katowice;Ruch Chorzów;1928-03-25;15:30;4;0;0;0;
196;4;1928;Cracovia;Czarni Lwów;1928-03-25;15:15;6;0;0;0;
197;4;1928;Pogoń Lwów;Hasmonea Lwów;1928-03-25;15:15;2;0;0;0;
198;4;1928;Klub Turystów Łódź;Wisła Kraków;1928-03-25;15:30;0;3;0;0;
199;5;1928;1. FC Katowice;Legia Warszawa;1928-04-01;15:30;4;1;0;0;
200;5;1928;ŁKS Łódź;Warszawianka Warszawa;1928-04-01;16:00;3;3;0;0;
201;5;1928;Polonia Warszawa;Klub Turystów Łódź;1928-04-01;15:45;2;1;0;0;
202;5;1928;TKS Toruń;Cracovia;1928-04-01;15:30;2;3;0;0;
203;5;1928;Pogoń Lwów;Śląsk Świętochłowice;1928-04-01;15:45;4;0;0;0;
204;5;1928;Wisła Kraków;Czarni Lwów;1928-04-01;16:00;3;0;0;0;
205;6;1928;Klub Turystów Łódź;Ruch Chorzów;1928-04-08;16:00;0;0;0;0;
206;6;1928;ŁKS Łódź;Ruch Chorzów;1928-04-09;16:00;1;2;0;0;
207;6;1928;Śląsk Świętochłowice;Czarni Lwów;1928-04-09;15:30;4;2;0;0;
208;7;1928;Ruch Chorzów;Polonia Warszawa;1928-04-15;16:00;1;2;0;0;
209;7;1928;Klub Turystów Łódź;Warta Poznań;1928-04-15;16:00;1;3;0;0;
210;7;1928;Legia Warszawa;Pogoń Lwów;1928-04-15;16:00;7;0;0;0;
211;7;1928;TKS Toruń;Wisła Kraków;1928-04-15;15:00;2;7;0;0;
212;7;1928;Cracovia;Śląsk Świętochłowice;1928-04-15;16:00;2;1;0;0;
213;7;1928;Czarni Lwów;1. FC Katowice;1928-04-15;15:30;2;3;0;0;
214;8;1928;Wisła Kraków;Warta Poznań;1928-04-22;16:00;3;2;0;0;
215;8;1928;Ruch Chorzów;Cracovia;1928-04-22;16:00;4;1;0;0;
216;8;1928;Warszawianka Warszawa;Pogoń Lwów;1928-04-22;16:00;3;0;0;0;
217;8;1928;ŁKS Łódź;1. FC Katowice;1928-04-22;16:00;0;3;0;0;
218;8;1928;Hasmonea Lwów;Polonia Warszawa;1928-04-22;16:15;1;4;0;0;
219;8;1928;Śląsk Świętochłowice;Legia Warszawa;1928-04-22;11:00;1;4;0;0;
220;9;1928;TKS Toruń;Warta Poznań;1928-04-29;16:00;2;2;0;0;
221;9;1928;1. FC Katowice;Hasmonea Lwów;1928-04-29;16:00;5;0;0;0;
222;9;1928;Czarni Lwów;ŁKS Łódź;1928-04-29;16:30;3;1;0;0;
223;9;1928;Polonia Warszawa;Śląsk Świętochłowice;1928-04-29;16:00;8;0;0;0;
224;9;1928;Cracovia;Warszawianka Warszawa;1928-04-29;16:00;1;1;0;0;
225;9;1928;Klub Turystów Łódź;Pogoń Lwów;1928-04-29;16:30;5;4;0;0;
226;10;1928;Czarni Lwów;Ruch Chorzów;1928-05-03;15:00;1;0;0;0;
227;10;1928;Legia Warszawa;Wisła Kraków;1928-05-03;16:30;1;0;0;0;
228;10;1928;Hasmonea Lwów;ŁKS Łódź;1928-05-03;16:30;3;1;0;0;
229;10;1928;1. FC Katowice;TKS Toruń;1928-05-03;;5;3;0;0;
230;11;1928;Klub Turystów Łódź;Legia Warszawa;1928-05-06;16:30;3;1;0;0;
231;11;1928;Pogoń Lwów;Cracovia;1928-05-06;16:30;3;2;0;0;
232;11;1928;Śląsk Świętochłowice;Warszawianka Warszawa;1928-05-06;16:30;0;1;0;0;
233;11;1928;Warta Poznań;Hasmonea Lwów;1928-05-06;16:30;2;2;0;0;
234;11;1928;Polonia Warszawa;1. FC Katowice;1928-05-06;16:30;1;3;0;0;
235;12;1928;Warszawianka Warszawa;Wisła Kraków;1928-05-13;16:30;2;1;0;0;
236;12;1928;Pogoń Lwów;Ruch Chorzów;1928-05-13;17:00;2;1;0;0;
237;12;1928;Hasmonea Lwów;TKS Toruń;1928-05-13;15:30;5;1;0;0;
238;12;1928;ŁKS Łódź;Warta Poznań;1928-05-13;17:00;2;2;0;0;
239;12;1928;1. FC Katowice;Klub Turystów Łódź;1928-05-13;;2;1;0;0;
240;12;1928;Cracovia;Legia Warszawa;1928-05-13;16:30;2;0;0;0;
241;13;1928;Hasmonea Lwów;Śląsk Świętochłowice;1928-05-17;17:00;6;0;0;0;
242;13;1928;Legia Warszawa;Czarni Lwów;1928-05-17;17:00;0;1;1;0;
243;13;1928;Wisła Kraków;Polonia Warszawa;1928-05-17;17:00;7;2;0;0;
244;14;1928;Czarni Lwów;Klub Turystów Łódź;1928-05-20;16:30;4;1;0;0;
245;14;1928;Warta Poznań;Cracovia;1928-05-20;16:30;3;0;0;0;
246;14;1928;Wisła Kraków;1. FC Katowice;1928-05-20;17:00;3;2;0;0;
247;14;1928;Legia Warszawa;TKS Toruń;1928-05-20;17:00;1;2;0;0;
248;14;1928;ŁKS Łódź;Pogoń Lwów;1928-05-20;17:00;1;5;0;0;
249;15;1928;Ruch Chorzów;Warszawianka Warszawa;1928-05-27;17:00;4;1;0;0;
250;15;1928;Klub Turystów Łódź;Śląsk Świętochłowice;1928-05-27;17:00;2;1;0;0;
251;16;1928;Warszawianka Warszawa;Czarni Lwów;1928-06-03;17:00;3;3;0;0;
252;16;1928;Klub Turystów Łódź;Hasmonea Lwów;1928-06-03;16:00;3;2;0;0;
253;16;1928;Ruch Chorzów;TKS Toruń;1928-06-03;17:00;2;1;0;0;
254;16;1928;Pogoń Lwów;1. FC Katowice;1928-06-03;17:30;1;2;0;0;
255;16;1928;Warta Poznań;Polonia Warszawa;1928-06-03;17:00;4;1;0;0;
256;16;1928;Cracovia;Wisła Kraków;1928-06-03;17:30;2;1;0;0;
257;17;1928;Legia Warszawa;Warszawianka Warszawa;1928-06-07;17:30;4;2;0;0;
258;17;1928;TKS Toruń;Pogoń Lwów;1928-06-07;17:30;3;4;0;0;
259;17;1928;Hasmonea Lwów;Czarni Lwów;1928-06-07;17:00;1;3;0;0;
260;18;1928;Ruch Chorzów;Legia Warszawa;1928-06-10;17:00;0;2;0;0;
261;18;1928;Warta Poznań;1. FC Katowice;1928-06-10;17:00;3;1;0;0;
262;19;1928;Legia Warszawa;Czarni Lwów;1928-06-17;10:00;1;2;0;0;
263;19;1928;TKS Toruń;Warszawianka Warszawa;1928-06-17;17:30;2;5;0;0;
264;19;1928;Pogoń Lwów;Warta Poznań;1928-06-17;17:30;1;1;0;0;
265;19;1928;Ruch Chorzów;Hasmonea Lwów;1928-06-17;17:00;2;1;0;0;
266;19;1928;Polonia Warszawa;ŁKS Łódź;1928-06-17;17:30;3;0;0;0;
267;19;1928;Cracovia;Klub Turystów Łódź;1928-06-17;17:30;5;1;0;0;
268;20;1928;Wisła Kraków;Pogoń Lwów;1928-06-24;18:00;6;1;0;0;
269;20;1928;Warta Poznań;Ruch Chorzów;1928-06-24;17:30;1;0;0;0;
270;20;1928;Hasmonea Lwów;Legia Warszawa;1928-06-24;17:45;2;2;0;0;
271;20;1928;ŁKS Łódź;Śląsk Świętochłowice;1928-06-24;17:00;8;3;0;0;
272;20;1928;Polonia Warszawa;Cracovia;1928-06-24;17:30;1;3;0;0;
273;21;1928;Warszawianka Warszawa;1. FC Katowice;1928-07-01;15:30;3;0;0;1;
274;21;1928;TKS Toruń;ŁKS Łódź;1928-07-01;17:30;2;0;0;0;
275;22;1928;1. FC Katowice;Cracovia;1928-07-08;;1;1;0;0;
276;22;1928;Czarni Lwów;Polonia Warszawa;1928-07-08;17:30;3;0;0;0;
277;22;1928;TKS Toruń;Śląsk Świętochłowice;1928-07-08;17:30;0;3;0;1;
278;22;1928;Wisła Kraków;ŁKS Łódź;1928-07-08;17:45;2;4;0;0;
279;22;1928;Klub Turystów Łódź;Warszawianka Warszawa;1928-07-08;17:30;3;0;0;0;
280;22;1928;Legia Warszawa;Warta Poznań;1928-07-08;17:45;0;1;0;0;
281;23;1928;Cracovia;Hasmonea Lwów;1928-07-15;17:30;3;2;0;0;
282;23;1928;Warta Poznań;Czarni Lwów;1928-07-15;17:30;2;1;0;0;
283;23;1928;Polonia Warszawa;Pogoń Lwów;1928-07-15;17:30;3;2;0;0;
284;23;1928;Śląsk Świętochłowice;Wisła Kraków;1928-07-15;18:00;1;2;0;0;
285;23;1928;TKS Toruń;Klub Turystów Łódź;1928-07-15;17:30;0;3;0;1;
286;24;1928;ŁKS Łódź;Cracovia;1928-07-22;17:30;0;0;0;0;
287;24;1928;Śląsk Świętochłowice;Warta Poznań;1928-07-22;18:00;1;1;0;0;
288;24;1928;Polonia Warszawa;Legia Warszawa;1928-07-21;17:30;4;3;0;0;
289;24;1928;Czarni Lwów;TKS Toruń;1928-07-22;16:00;2;0;0;0;
290;24;1928;Warszawianka Warszawa;Hasmonea Lwów;1928-07-22;17:30;0;3;0;0;
291;24;1928;Pogoń Lwów;Klub Turystów Łódź;1928-07-22;17:30;3;2;0;0;
292;25;1928;TKS Toruń;1. FC Katowice;1928-07-29;17:00;3;4;0;0;
293;25;1928;Legia Warszawa;Śląsk Świętochłowice;1928-07-29;17:30;3;1;0;0;
294;25;1928;Ruch Chorzów;Pogoń Lwów;1928-07-29;17:30;1;3;0;0;
295;25;1928;Hasmonea Lwów;Wisła Kraków;1928-07-29;17:30;0;1;0;0;
296;25;1928;Warta Poznań;ŁKS Łódź;1928-07-29;17:30;3;2;0;0;
297;25;1928;Klub Turystów Łódź;Czarni Lwów;1928-07-29;17:00;3;0;0;0;
298;26;1928;Śląsk Świętochłowice;Cracovia;1928-08-05;17:30;0;3;0;1;
